lambda_bc,adam_lr,partition_seed,n_bc,pde,bc,pde+bc,weighted,elapsed_s
1.0,0.01,0,32,0.027303822338581085,0.5293868780136108,0.5566907003521919,0.5566907003521919,27.9
1.0,0.01,0,64,0.02302968129515648,0.49635833501815796,0.5193880163133144,0.5193880163133144,28.0
1.0,0.01,0,128,0.025468021631240845,0.5191161632537842,0.544584184885025,0.544584184885025,27.8
1.0,0.01,0,256,0.022141803056001663,0.4894375205039978,0.5115793235599995,0.5115793235599995,28.5
1.0,0.01,0,512,0.022192973643541336,0.46860677003860474,0.4907997436821461,0.4907997436821461,28.2
