lambda_bc,adam_lr,partition_seed,pde,bc,pde+bc,weighted,elapsed_s
1.0,0.01,0,0.02302968129515648,0.49635833501815796,0.5193880163133144,0.5193880163133144,27.8
1.0,0.01,1,0.0339302122592926,0.4896370470523834,0.523567259311676,0.523567259311676,28.4
1.0,0.01,2,0.03475327789783478,0.5032272338867188,0.5379805117845535,0.5379805117845535,28.6
1.0,0.01,42,0.01024545356631279,0.5369691848754883,0.5472146384418011,0.5472146384418011,28.0
